station_name,river_name,state,district,month,dissolved_oxygen,bod,ph,violation_reasons,risk_score,risk_category,label_confidence,risk_confidence,rule_based_explanation
"Godavari river at Jaikwadi Dam, Village. Paithan, Taluka. Paithan, District.Ch. Sambhaji Nagar.",Godavari,,Ch. Sambhaji Nagar,Aug,6.7,3.2,8.4,BOD (3.2 > 3),0.17,Low Risk,High,High,Non-compliant because BOD is 3.20 mg/L (above 3). Risk category: Low Risk.
"Godavari river at U/s of Paithan at Paithan intake pump house, Village. Jayakwadi, Taluka. Paithan, District. Ch. Sambhaji Nagar.",Godavari,,Ch. Sambhaji Nagar,Aug,6.6,3.2,8.3,BOD (3.2 > 3),0.17,Low Risk,High,High,Non-compliant because BOD is 3.20 mg/L (above 3). Risk category: Low Risk.
"Godavari river at D/s of Paithan at Pathegaon bridge, Village. Pathegaon, Taluka. Paithan, District. Ch. Sambhaji Nagar.",Godavari,,Ch. Sambhaji Nagar,Aug,6.9,3.2,8.5,BOD (3.2 > 3),0.17,Low Risk,High,High,Non-compliant because BOD is 3.20 mg/L (above 3). Risk category: Low Risk.
"Godavari river at U/s of Aurangabad Reservoir,Kaigaon Tokka near Kaigaon bridge,Village. Kaigaon,Taluka. Gangapur,District. Ch. Sambhaji Nagar.",Godavari,,Ch. Sambhaji Nagar,Aug,7.0,3.4,7.9,BOD (3.4 > 3),0.34,Low Risk,High,High,Non-compliant because BOD is 3.40 mg/L (above 3). Risk category: Low Risk.
"Godavari river at Jalna Intake water pump house, Village. Shahabad, Taluka. Ambad, District. Jalna.",Godavari,,Jalna,Aug,6.6,3.8,8.7,BOD (3.8 > 3); pH (8.7 not in 6.5-8.5),1.41,Low Risk,High,High,Non-compliant because BOD is 3.80 mg/L (above 3); pH is 8.70 (outside 6.5-8.5). Risk category: Low Risk.
"Bindusara river at Beed, near intake water pump house at Dam, Village. Paligaon, Taluka. Beed, District. Beed.",Bindusara,,Beed,Aug,7.1,3.0,8.6,pH (8.6 not in 6.5-8.5),0.36,Low Risk,High,High,Non-compliant because pH is 8.60 (outside 6.5-8.5). Risk category: Low Risk.
"Godavari river at Latur water intake near Pump house. Village. Dhamegaon, Taluka. Kalumb, District. Dharashiv",Godavari,,Latur,Aug,7.0,3.2,8.3,BOD (3.2 > 3),0.17,Low Risk,High,High,Non-compliant because BOD is 3.20 mg/L (above 3). Risk category: Low Risk.
"Manjra river at D/s of Latur, near Latur. Nanded bridge, Village. Bhatkheda, Taluka. Latur, District. Latur.",Manjra,,Latur,Aug,6.8,3.6,8.5,BOD (3.6 > 3),0.51,Low Risk,High,High,Non-compliant because BOD is 3.60 mg/L (above 3). Risk category: Low Risk.
"Godavari river at Raher, Village.Raher, Taluka. Nayagaon, District. Nanded.",Godavari,,Nanded,Aug,6.0,3.8,8.1,BOD (3.8 > 3),0.68,Low Risk,High,High,Non-compliant because BOD is 3.80 mg/L (above 3). Risk category: Low Risk.
"Godavari river near Intake water pump house, Village. Vishnupuri, Taluka. Nanded, District. Nanded.",Godavari,,Nanded,Aug,6.4,3.8,8.3,BOD (3.8 > 3),0.68,Low Risk,High,High,Non-compliant because BOD is 3.80 mg/L (above 3). Risk category: Low Risk.
"Asna River, Dist- Nanded",Asna,,Nanded,Aug,5.3,4.8,9.0,BOD (4.8 > 3); pH (9.0 not in 6.5-8.5),3.35,Low Risk,High,High,Non-compliant because BOD is 4.80 mg/L (above 3); pH is 9.00 (outside 6.5-8.5). Risk category: Low Risk.
"Godavari river at Dhalegaon, Village. Dhalegaon, Taluka. Pathari,  District. Parbhani.",Godavari,,Parbhani,Aug,7.7,2.8,8.5,,0.0,Low Risk,High,High,Label is 'Compliant_Based_On_Available_Parameters'. Measured core values are within limits but data may be partial.
"Purna River, Yeldari dam, Dist- Parbhani",Purna,,Parbhani,Aug,7.4,3.2,7.8,BOD (3.2 > 3),0.17,Low Risk,High,High,Non-compliant because BOD is 3.20 mg/L (above 3). Risk category: Low Risk.
"Krishna river at Rajapur Weir, Village. Rajapur, Taluka. Shirol, District. Kolhapur.",Krishna,,Kolhapur,Aug,7.1,2.6,7.8,,0.0,Low Risk,High,High,Label is 'Compliant_Based_On_Available_Parameters'. Measured core values are within limits but data may be partial.
"Krishna river at Kurundwad near Santaji Ghorpade Ghat , Village.Narshingwadi, Kurundwad, Taluka. Shirol, District. Kolhapur.",Krishna,,Kolhapur,Aug,7.0,2.8,7.7,,0.0,Low Risk,High,High,Label is 'Compliant_Based_On_Available_Parameters'. Measured core values are within limits but data may be partial.
"Panchaganga river at U/s of Kolhapur town near Balinga Pumping station, Village.Balinga, Taluka. Karvir, District. Kolhapur.",Panchaganga,,Kolhapur,Aug,6.9,3.0,7.6,,0.0,Low Risk,High,High,Label is 'Compliant_Based_On_Available_Parameters'. Measured core values are within limits but data may be partial.
"Panchaganga river at D/s of Kolhapur town at Gandhi nagar near NH.4 bridge and MIDC, Village. Uchegaon, Taluka. Kolhapur, District. Kolhapur.",Panchaganga,,Kolhapur,Aug,7.1,2.8,7.8,,0.0,Low Risk,High,High,Label is 'Compliant_Based_On_Available_Parameters'. Measured core values are within limits but data may be partial.
