station_name,live_rule_explanation,live_model_explanation,live_missing_data_explanation,live_final_explanation
"WB89_Durgapur barrage, Road Bridge","pH is 8.47, within the safe range 6.5–8.5. DO is 7.4 mg/L, meeting the >=5 mg/L requirement. BOD is 2.52 mg/L, meeting the <=3 mg/L requirement.","The ML model predicts this station is Compliant. The strongest global drivers for the model are generally: bod, dissolved_oxygen, ph, temperature, conductivity.",No major missing core parameters for this station.,"Station WB89_Durgapur barrage, Road Bridge is classified Compliant by rule and ML. nan. The prediction has high confidence because DO, BOD, and pH are available. Top model drivers are bod, dissolved_oxygen, ph, temperature, conductivity."
WB90_Damodar river Intake well pump house Ramgarh,"pH is 8.29, within the safe range 6.5–8.5. DO is 7.81 mg/L, meeting the >=5 mg/L requirement. BOD is 1.41 mg/L, meeting the <=3 mg/L requirement.","The ML model predicts this station is Compliant. The strongest global drivers for the model are generally: bod, dissolved_oxygen, ph, temperature, conductivity.",No major missing core parameters for this station.,"Station WB90_Damodar river Intake well pump house Ramgarh is classified Compliant by rule and ML. nan. The prediction has high confidence because DO, BOD, and pH are available. Top model drivers are bod, dissolved_oxygen, ph, temperature, conductivity."
"UK51_Abandoned old  bridge, Rudraprayag ","pH is 8.03, within the safe range 6.5–8.5. DO is 9.23 mg/L, meeting the >=5 mg/L requirement. BOD is 8.66 mg/L, violating the <=3 mg/L requirement.","The ML model predicts this station is Non-Compliant. The strongest global drivers for the model are generally: bod, dissolved_oxygen, ph, temperature, conductivity.",No major missing core parameters for this station.,"Station UK51_Abandoned old  bridge, Rudraprayag  is classified Non-Compliant by rule and ML. BOD is 8.66 (> 3 mg/L). The prediction has high confidence because DO, BOD, and pH are available. Top model drivers are bod, dissolved_oxygen, ph, temperature, conductivity."
UK53_D/s of Tehri Dam,"pH is 8.1, within the safe range 6.5–8.5. DO is 8.65 mg/L, meeting the >=5 mg/L requirement. BOD is 0.5 mg/L, meeting the <=3 mg/L requirement.","The ML model predicts this station is Compliant. The strongest global drivers for the model are generally: bod, dissolved_oxygen, ph, temperature, conductivity.",No major missing core parameters for this station.,"Station UK53_D/s of Tehri Dam is classified Compliant by rule and ML. nan. The prediction has high confidence because DO, BOD, and pH are available. Top model drivers are bod, dissolved_oxygen, ph, temperature, conductivity."
"UK54_Distributing Canal, Left Bank, Rishikesh","pH is 8.08, within the safe range 6.5–8.5. DO is 9.52 mg/L, meeting the >=5 mg/L requirement. BOD is 0.5 mg/L, meeting the <=3 mg/L requirement.","The ML model predicts this station is Compliant. The strongest global drivers for the model are generally: bod, dissolved_oxygen, ph, temperature, conductivity.",No major missing core parameters for this station.,"Station UK54_Distributing Canal, Left Bank, Rishikesh is classified Compliant by rule and ML. nan. The prediction has high confidence because DO, BOD, and pH are available. Top model drivers are bod, dissolved_oxygen, ph, temperature, conductivity."
"UK55_D/s of Har Ki Pauri, Dam Kothi, Haridwar","pH is 8.13, within the safe range 6.5–8.5. DO is 8.86 mg/L, meeting the >=5 mg/L requirement. BOD is 0.5 mg/L, meeting the <=3 mg/L requirement.","The ML model predicts this station is Compliant. The strongest global drivers for the model are generally: bod, dissolved_oxygen, ph, temperature, conductivity.",No major missing core parameters for this station.,"Station UK55_D/s of Har Ki Pauri, Dam Kothi, Haridwar is classified Compliant by rule and ML. nan. The prediction has high confidence because DO, BOD, and pH are available. Top model drivers are bod, dissolved_oxygen, ph, temperature, conductivity."
"HR56_D/s of Mohana, Sonipat","pH is 7.75, within the safe range 6.5–8.5. DO is 8.2 mg/L, meeting the >=5 mg/L requirement. BOD is 3.26 mg/L, violating the <=3 mg/L requirement.","The ML model predicts this station is Non-Compliant. The strongest global drivers for the model are generally: bod, dissolved_oxygen, ph, temperature, conductivity.",No major missing core parameters for this station.,"Station HR56_D/s of Mohana, Sonipat is classified Non-Compliant by rule and ML. BOD is 3.26 (> 3 mg/L). The prediction has high confidence because DO, BOD, and pH are available. Top model drivers are bod, dissolved_oxygen, ph, temperature, conductivity."
"UT57_Bridge on Hindon river, Rajnagar Ext.Gzb","pH is 7.78, within the safe range 6.5–8.5. DO is 1.48 mg/L, violating the >=5 mg/L requirement. BOD is 5.23 mg/L, violating the <=3 mg/L requirement.","The ML model predicts this station is Non-Compliant. The strongest global drivers for the model are generally: bod, dissolved_oxygen, ph, temperature, conductivity.",No major missing core parameters for this station.,"Station UT57_Bridge on Hindon river, Rajnagar Ext.Gzb is classified Non-Compliant by rule and ML. DO is 1.48 (< 5 mg/L)  and  BOD is 5.23 (> 3 mg/L). The prediction has high confidence because DO, BOD, and pH are available. Top model drivers are bod, dissolved_oxygen, ph, temperature, conductivity."
"UT58_River Kali East, D/s Meerut city, Kaul vill.","pH is 8.53, outside the safe range 6.5-8.5. DO is 9.13 mg/L, meeting the >=5 mg/L requirement. BOD is 4.2 mg/L, violating the <=3 mg/L requirement.","The ML model predicts this station is Non-Compliant. The strongest global drivers for the model are generally: bod, dissolved_oxygen, ph, temperature, conductivity.",No major missing core parameters for this station.,"Station UT58_River Kali East, D/s Meerut city, Kaul vill. is classified Non-Compliant by rule and ML. BOD is 4.2 (> 3 mg/L)  and  pH is 8.53 (out of 6.5-8.5). The prediction has high confidence because DO, BOD, and pH are available. Top model drivers are bod, dissolved_oxygen, ph, temperature, conductivity."
"UT59_River Kali East, D/s of Bulandshahr","pH is 8.42, within the safe range 6.5–8.5. DO is 7.76 mg/L, meeting the >=5 mg/L requirement. BOD is 2.79 mg/L, meeting the <=3 mg/L requirement.","The ML model predicts this station is Compliant. The strongest global drivers for the model are generally: bod, dissolved_oxygen, ph, temperature, conductivity.",No major missing core parameters for this station.,"Station UT59_River Kali East, D/s of Bulandshahr is classified Compliant by rule and ML. nan. The prediction has high confidence because DO, BOD, and pH are available. Top model drivers are bod, dissolved_oxygen, ph, temperature, conductivity."
"UT60_Upstream of Gokul Barrage,D/s of Mathura city","pH is 7.8, within the safe range 6.5–8.5. DO is 2.28 mg/L, violating the >=5 mg/L requirement. BOD is 5.1 mg/L, violating the <=3 mg/L requirement.","The ML model predicts this station is Non-Compliant. The strongest global drivers for the model are generally: bod, dissolved_oxygen, ph, temperature, conductivity.",No major missing core parameters for this station.,"Station UT60_Upstream of Gokul Barrage,D/s of Mathura city is classified Non-Compliant by rule and ML. DO is 2.28 (< 5 mg/L)  and  BOD is 5.1 (> 3 mg/L). The prediction has high confidence because DO, BOD, and pH are available. Top model drivers are bod, dissolved_oxygen, ph, temperature, conductivity."
"UT61_Near Galhita on River Hindon,Barnawa,Baghpat","pH is 7.37, within the safe range 6.5–8.5. DO is 7.67 mg/L, meeting the >=5 mg/L requirement. BOD is 1.54 mg/L, meeting the <=3 mg/L requirement.","The ML model predicts this station is Compliant. The strongest global drivers for the model are generally: bod, dissolved_oxygen, ph, temperature, conductivity.",No major missing core parameters for this station.,"Station UT61_Near Galhita on River Hindon,Barnawa,Baghpat is classified Compliant by rule and ML. nan. The prediction has high confidence because DO, BOD, and pH are available. Top model drivers are bod, dissolved_oxygen, ph, temperature, conductivity."
"UT63_River Yamuna, U/s to Sangam at Allahabad","pH is 8.35, within the safe range 6.5–8.5. DO is 9.14 mg/L, meeting the >=5 mg/L requirement. BOD is 4.99 mg/L, violating the <=3 mg/L requirement.","The ML model predicts this station is Non-Compliant. The strongest global drivers for the model are generally: bod, dissolved_oxygen, ph, temperature, conductivity.",No major missing core parameters for this station.,"Station UT63_River Yamuna, U/s to Sangam at Allahabad is classified Non-Compliant by rule and ML. BOD is 4.99 (> 3 mg/L). The prediction has high confidence because DO, BOD, and pH are available. Top model drivers are bod, dissolved_oxygen, ph, temperature, conductivity."
"UT64_Fafamau, Lord Curzon Bridge, Allahabad","pH is 8.36, within the safe range 6.5–8.5. DO is 7.57 mg/L, meeting the >=5 mg/L requirement. BOD is 2.91 mg/L, meeting the <=3 mg/L requirement.","The ML model predicts this station is Compliant. The strongest global drivers for the model are generally: bod, dissolved_oxygen, ph, temperature, conductivity.",No major missing core parameters for this station.,"Station UT64_Fafamau, Lord Curzon Bridge, Allahabad is classified Compliant by rule and ML. nan. The prediction has high confidence because DO, BOD, and pH are available. Top model drivers are bod, dissolved_oxygen, ph, temperature, conductivity."
"UT65_Balu ghat bridge, Chunar","pH is 8.4, within the safe range 6.5–8.5. DO is 8.26 mg/L, meeting the >=5 mg/L requirement. BOD is 3.36 mg/L, violating the <=3 mg/L requirement.","The ML model predicts this station is Non-Compliant. The strongest global drivers for the model are generally: bod, dissolved_oxygen, ph, temperature, conductivity.",No major missing core parameters for this station.,"Station UT65_Balu ghat bridge, Chunar is classified Non-Compliant by rule and ML. BOD is 3.36 (> 3 mg/L). The prediction has high confidence because DO, BOD, and pH are available. Top model drivers are bod, dissolved_oxygen, ph, temperature, conductivity."
"UT66_Ghazipur, Abdul Hameed Setu on River Ganga","pH is 8.22, within the safe range 6.5–8.5. DO is 7.44 mg/L, meeting the >=5 mg/L requirement. BOD is 3.11 mg/L, violating the <=3 mg/L requirement.","The ML model predicts this station is Non-Compliant. The strongest global drivers for the model are generally: bod, dissolved_oxygen, ph, temperature, conductivity.",No major missing core parameters for this station.,"Station UT66_Ghazipur, Abdul Hameed Setu on River Ganga is classified Non-Compliant by rule and ML. BOD is 3.11 (> 3 mg/L). The prediction has high confidence because DO, BOD, and pH are available. Top model drivers are bod, dissolved_oxygen, ph, temperature, conductivity."
"UT67_Kheerveer Bridge,Kishundaspur Road,Pratapgarh","pH is 8.42, within the safe range 6.5–8.5. DO is 7.66 mg/L, meeting the >=5 mg/L requirement. BOD is 4.65 mg/L, violating the <=3 mg/L requirement.","The ML model predicts this station is Non-Compliant. The strongest global drivers for the model are generally: bod, dissolved_oxygen, ph, temperature, conductivity.",No major missing core parameters for this station.,"Station UT67_Kheerveer Bridge,Kishundaspur Road,Pratapgarh is classified Non-Compliant by rule and ML. BOD is 4.65 (> 3 mg/L). The prediction has high confidence because DO, BOD, and pH are available. Top model drivers are bod, dissolved_oxygen, ph, temperature, conductivity."
"UT68_Korra Kanak, Asothar, Fatehpur.","pH is 8.54, outside the safe range 6.5-8.5. DO is 6.43 mg/L, meeting the >=5 mg/L requirement. BOD is 5.13 mg/L, violating the <=3 mg/L requirement.","The ML model predicts this station is Non-Compliant. The strongest global drivers for the model are generally: bod, dissolved_oxygen, ph, temperature, conductivity.",No major missing core parameters for this station.,"Station UT68_Korra Kanak, Asothar, Fatehpur. is classified Non-Compliant by rule and ML. BOD is 5.13 (> 3 mg/L)  and  pH is 8.54 (out of 6.5-8.5). The prediction has high confidence because DO, BOD, and pH are available. Top model drivers are bod, dissolved_oxygen, ph, temperature, conductivity."
"UT69_Marhapur, Auraiya","pH is 8.22, within the safe range 6.5–8.5. DO is 8.01 mg/L, meeting the >=5 mg/L requirement. BOD is 2.95 mg/L, meeting the <=3 mg/L requirement.","The ML model predicts this station is Compliant. The strongest global drivers for the model are generally: bod, dissolved_oxygen, ph, temperature, conductivity.",No major missing core parameters for this station.,"Station UT69_Marhapur, Auraiya is classified Compliant by rule and ML. nan. The prediction has high confidence because DO, BOD, and pH are available. Top model drivers are bod, dissolved_oxygen, ph, temperature, conductivity."
"UT70_Mawai Dham, Amauli, Fatehpur","pH is 8.06, within the safe range 6.5–8.5. DO is 8.57 mg/L, meeting the >=5 mg/L requirement. BOD is 3.28 mg/L, violating the <=3 mg/L requirement.","The ML model predicts this station is Non-Compliant. The strongest global drivers for the model are generally: bod, dissolved_oxygen, ph, temperature, conductivity.",No major missing core parameters for this station.,"Station UT70_Mawai Dham, Amauli, Fatehpur is classified Non-Compliant by rule and ML. BOD is 3.28 (> 3 mg/L). The prediction has high confidence because DO, BOD, and pH are available. Top model drivers are bod, dissolved_oxygen, ph, temperature, conductivity."
