station_name,river_name,water_body_type,predicted_label,predicted_non_compliance_probability,top_positive_shap_features,top_negative_shap_features,shap_explanation_text
"Amravati river at D/s. of Dondaicha, Village. Dondaicha, Taluka. Dhule, District. Dhule.",Amravati,River,Compliant,0.0,None,bod (-0.351) | dissolved_oxygen (-0.149),"Acceptable levels in bod, dissolved_oxygen reduced the risk."
"Darna river at Sansari, Village. Sansari,Taluka. Nashik,District. Nashik.",Darna,River,Non-Compliant,1.0,bod (0.250) | dissolved_oxygen (0.250),None,"High values in bod, dissolved_oxygen increased the risk."
"Mutha river at Khadakvasla Dam, Village. Khadakvasla,Taluka. Haweli, District. Pune.",Mutha,River,Compliant,0.0,None,bod (-0.351) | dissolved_oxygen (-0.149),"Acceptable levels in bod, dissolved_oxygen reduced the risk."
"Krishna river at Rajapur Weir, Village. Rajapur, Taluka. Shirol, District. Kolhapur.",Krishna,River,Compliant,0.0,None,bod (-0.351) | dissolved_oxygen (-0.149),"Acceptable levels in bod, dissolved_oxygen reduced the risk."
"Arnala sea, Village. Arnala, Taluka. Vasai, District. Thane.",Arnala,Sea,Non-Compliant,1.0,bod (0.250) | dissolved_oxygen (0.250),None,"High values in bod, dissolved_oxygen increased the risk."
"Penganga river D/s of Isapur Dam, Village. Isapur,Taluka. Pusad,District. Yavatmal.",Penganga,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Tapi river at Ubad village near Gujratborder, Village. Ubad, Taluka. Shahada, District. Nandurbar.",Tapi,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Godavari river at D/s of Paithan at Pathegaon bridge, Village. Pathegaon, Taluka. Paithan, District. Ch. Sambhaji Nagar.",Godavari,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Purna river at Kolhapur Tal- Daryapur, Dist- Amravati",Purna,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
Vashi Creek at Vashi Bridge,Vashi,Creek,Non-Compliant,1.0,bod (0.250) | dissolved_oxygen (0.250),None,"High values in bod, dissolved_oxygen increased the risk."
"Ulhas creek at Reti bunder at D/s of Kalyan. Bhiwandi bridge, Village. Kalyan, Taluka. Kalyan, District. Thane.",Ulhas,Creek,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Pehlar Dam on Pehlar river. inlet of water works, Village. Pehlar, Taluka. Vasai, District. Thane.",Pehlar,Dam,Compliant,0.0,None,bod (-0.351) | dissolved_oxygen (-0.149),"Acceptable levels in bod, dissolved_oxygen reduced the risk."
"Wainganga river at kardha bridge, D/S of bhandara city, Dist- Bhandara",Wainganga,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Nalla at D/s of Aklai Mandir, Village. Aklai, Taluka. Malshiras, District. Solapur.",Nala,Nala,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Nira river at Shindewadi,  Village. Shirval, Taluka. Khandala, District. Satara.",Nira,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Ulhas creek at Versova bridge, Village. Versova, Taluka. Vasai, District. Thane.",Ulhas,Creek,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Rabodi nalla, Village. Rabodi,Taluka. Thane, District. Thane.",Rabodi,Nala,Non-Compliant,1.0,bod (0.250) | dissolved_oxygen (0.250),None,"High values in bod, dissolved_oxygen increased the risk."
"Panchaganga river at Ichalkaranji near MIDC  intake well. Village. Shiradhwad  (Ichalkaranji ghat), Taluka.Hatkanangale, District. Kolhapur.",Panchaganga,River,Compliant,0.0,None,bod (-0.351) | dissolved_oxygen (-0.149),"Acceptable levels in bod, dissolved_oxygen reduced the risk."
"Venna river at Mahuli, Village. Mahuli, Taluka. Mahuli, District. Satara.",Venna,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
"Darna river at Aswali ( Darna Dam),Village. Aswali,Taluka. Igatpuri,District. Nashik.",Darna,River,Non-Compliant,1.0,bod (0.557),dissolved_oxygen (-0.057),High values in bod increased the risk. Acceptable levels in dissolved_oxygen reduced the risk.
