alert_id,station_name,river_name,district,state_name,sampling_date,month,alert_types,severity,predicted_compliance_label,predicted_non_compliance_probability,risk_score,risk_category,violation_reasons,label_confidence,explanation,recommended_action
63ee53c5,"Godavari river at Jaikwadi Dam, Village. Paithan, Taluka. Paithan, District.Ch. Sambhaji Nagar.",Godavari,Ch. Sambhaji Nagar,Maharashtra,08-05-2025,Aug,Regulatory Violation | ML Non-Compliance,High,Non-Compliant,1.0,0.17,Low Risk,BOD (3.2 > 3),High,"Triggered by: Regulatory Violation, ML Non-Compliance",Inspect nearby discharge source and issue warning.
adf088da,"Godavari river at U/s of Paithan at Paithan intake pump house, Village. Jayakwadi, Taluka. Paithan, District. Ch. Sambhaji Nagar.",Godavari,Ch. Sambhaji Nagar,Maharashtra,08-05-2025,Aug,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,Non-Compliant,1.0,0.17,Low Risk,BOD (3.2 > 3),High,"Triggered by: Regulatory Violation, ML Non-Compliance, Persistent Hotspot",Escalate for immediate field inspection and source tracking.
8ed2ebd9,"Godavari river at D/s of Paithan at Pathegaon bridge, Village. Pathegaon, Taluka. Paithan, District. Ch. Sambhaji Nagar.",Godavari,Ch. Sambhaji Nagar,Maharashtra,08-05-2025,Aug,Regulatory Violation | ML Non-Compliance,High,Non-Compliant,1.0,0.17,Low Risk,BOD (3.2 > 3),High,"Triggered by: Regulatory Violation, ML Non-Compliance",Inspect nearby discharge source and issue warning.
ce6132c3,"Godavari river at U/s of Aurangabad Reservoir,Kaigaon Tokka near Kaigaon bridge,Village. Kaigaon,Taluka. Gangapur,District. Ch. Sambhaji Nagar.",Godavari,Ch. Sambhaji Nagar,Maharashtra,08-05-2025,Aug,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,Non-Compliant,1.0,0.34,Low Risk,BOD (3.4 > 3),High,"Triggered by: Regulatory Violation, ML Non-Compliance, Persistent Hotspot",Escalate for immediate field inspection and source tracking.
0d4bc406,"Godavari river at Jalna Intake water pump house, Village. Shahabad, Taluka. Ambad, District. Jalna.",Godavari,Jalna,Maharashtra,08-04-2025,Aug,Regulatory Violation | ML Non-Compliance,High,Non-Compliant,1.0,1.41,Low Risk,BOD (3.8 > 3); pH (8.7 not in 6.5-8.5),High,"Triggered by: Regulatory Violation, ML Non-Compliance",Inspect nearby discharge source and issue warning.
c330b507,"Bindusara river at Beed, near intake water pump house at Dam, Village. Paligaon, Taluka. Beed, District. Beed.",Bindusara,Beed,Maharashtra,08-04-2025,Aug,Regulatory Violation,High,Compliant,0.0,0.36,Low Risk,pH (8.6 not in 6.5-8.5),High,Triggered by: Regulatory Violation,Inspect nearby discharge source and issue warning.
b1527c6f,"Godavari river at Latur water intake near Pump house. Village. Dhamegaon, Taluka. Kalumb, District. Dharashiv",Godavari,Latur,Maharashtra,08-03-2025,Aug,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,Non-Compliant,1.0,0.17,Low Risk,BOD (3.2 > 3),High,"Triggered by: Regulatory Violation, ML Non-Compliance, Persistent Hotspot",Escalate for immediate field inspection and source tracking.
b4b9b355,"Manjra river at D/s of Latur, near Latur. Nanded bridge, Village. Bhatkheda, Taluka. Latur, District. Latur.",Manjra,Latur,Maharashtra,08-03-2025,Aug,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,Non-Compliant,1.0,0.51,Low Risk,BOD (3.6 > 3),High,"Triggered by: Regulatory Violation, ML Non-Compliance, Persistent Hotspot",Escalate for immediate field inspection and source tracking.
b9a1f76a,"Godavari river at Raher, Village.Raher, Taluka. Nayagaon, District. Nanded.",Godavari,Nanded,Maharashtra,08-05-2025,Aug,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,Non-Compliant,1.0,0.68,Low Risk,BOD (3.8 > 3),High,"Triggered by: Regulatory Violation, ML Non-Compliance, Persistent Hotspot",Escalate for immediate field inspection and source tracking.
83edfdc2,"Godavari river near Intake water pump house, Village. Vishnupuri, Taluka. Nanded, District. Nanded.",Godavari,Nanded,Maharashtra,08-05-2025,Aug,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,Non-Compliant,1.0,0.68,Low Risk,BOD (3.8 > 3),High,"Triggered by: Regulatory Violation, ML Non-Compliance, Persistent Hotspot",Escalate for immediate field inspection and source tracking.
