alert_id,station_name,river_name,alert_type,severity,risk_score,risk_category,violation_reasons,top_model_drivers,rule_explanation,shap_explanation,historical_context_if_available,recommended_action
63ee53c5,"Godavari river at Jaikwadi Dam, Village. Paithan, Taluka. Paithan, District.Ch. Sambhaji Nagar.",Godavari,Regulatory Violation | ML Non-Compliance,High,0.17,Low Risk,BOD (3.2 > 3),,Non-compliant because BOD is 3.20 mg/L (above 3). Risk category: Low Risk.,,None,Monitor closely and verify at next sampling cycle
adf088da,"Godavari river at U/s of Paithan at Paithan intake pump house, Village. Jayakwadi, Taluka. Paithan, District. Ch. Sambhaji Nagar.",Godavari,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,0.17,Low Risk,BOD (3.2 > 3),,Non-compliant because BOD is 3.20 mg/L (above 3). Risk category: Low Risk.,,None,Dispatch immediate field monitoring team
8ed2ebd9,"Godavari river at D/s of Paithan at Pathegaon bridge, Village. Pathegaon, Taluka. Paithan, District. Ch. Sambhaji Nagar.",Godavari,Regulatory Violation | ML Non-Compliance,High,0.17,Low Risk,BOD (3.2 > 3),,Non-compliant because BOD is 3.20 mg/L (above 3). Risk category: Low Risk.,,None,Monitor closely and verify at next sampling cycle
ce6132c3,"Godavari river at U/s of Aurangabad Reservoir,Kaigaon Tokka near Kaigaon bridge,Village. Kaigaon,Taluka. Gangapur,District. Ch. Sambhaji Nagar.",Godavari,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,0.34,Low Risk,BOD (3.4 > 3),,Non-compliant because BOD is 3.40 mg/L (above 3). Risk category: Low Risk.,,None,Dispatch immediate field monitoring team
0d4bc406,"Godavari river at Jalna Intake water pump house, Village. Shahabad, Taluka. Ambad, District. Jalna.",Godavari,Regulatory Violation | ML Non-Compliance,High,1.41,Low Risk,BOD (3.8 > 3); pH (8.7 not in 6.5-8.5),,Non-compliant because BOD is 3.80 mg/L (above 3); pH is 8.70 (outside 6.5-8.5). Risk category: Low Risk.,,None,Monitor closely and verify at next sampling cycle
c330b507,"Bindusara river at Beed, near intake water pump house at Dam, Village. Paligaon, Taluka. Beed, District. Beed.",Bindusara,Regulatory Violation,High,0.36,Low Risk,pH (8.6 not in 6.5-8.5),,Non-compliant because pH is 8.60 (outside 6.5-8.5). Risk category: Low Risk.,,None,Monitor closely and verify at next sampling cycle
b1527c6f,"Godavari river at Latur water intake near Pump house. Village. Dhamegaon, Taluka. Kalumb, District. Dharashiv",Godavari,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,0.17,Low Risk,BOD (3.2 > 3),,Non-compliant because BOD is 3.20 mg/L (above 3). Risk category: Low Risk.,,None,Dispatch immediate field monitoring team
b4b9b355,"Manjra river at D/s of Latur, near Latur. Nanded bridge, Village. Bhatkheda, Taluka. Latur, District. Latur.",Manjra,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,0.51,Low Risk,BOD (3.6 > 3),,Non-compliant because BOD is 3.60 mg/L (above 3). Risk category: Low Risk.,,None,Dispatch immediate field monitoring team
b9a1f76a,"Godavari river at Raher, Village.Raher, Taluka. Nayagaon, District. Nanded.",Godavari,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,0.68,Low Risk,BOD (3.8 > 3),,Non-compliant because BOD is 3.80 mg/L (above 3). Risk category: Low Risk.,,None,Dispatch immediate field monitoring team
83edfdc2,"Godavari river near Intake water pump house, Village. Vishnupuri, Taluka. Nanded, District. Nanded.",Godavari,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,0.68,Low Risk,BOD (3.8 > 3),,Non-compliant because BOD is 3.80 mg/L (above 3). Risk category: Low Risk.,,None,Dispatch immediate field monitoring team
1c21260a,"Asna River, Dist- Nanded",Asna,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,3.35,Low Risk,BOD (4.8 > 3); pH (9.0 not in 6.5-8.5),,Non-compliant because BOD is 4.80 mg/L (above 3); pH is 9.00 (outside 6.5-8.5). Risk category: Low Risk.,,None,Dispatch immediate field monitoring team
c09d637c,"Purna River, Yeldari dam, Dist- Parbhani",Purna,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,0.17,Low Risk,BOD (3.2 > 3),,Non-compliant because BOD is 3.20 mg/L (above 3). Risk category: Low Risk.,,None,Dispatch immediate field monitoring team
4cf4ac8d,"Sea Water at Ganapathipule, Village. Ganapatipule, Taluka. Ratnagiri,  District. Ratnagiri.",Sea,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,7.66,Low Risk,BOD (12.0 > 3),,Non-compliant because BOD is 12.00 mg/L (above 3). Risk category: Low Risk.,,None,Dispatch immediate field monitoring team
beeed129,"Sea water at Bhagwati Bunder, Ratnagiri near Ultra Tech Cement Jetty , Village. Mirkarwada, Taluka. Ratnagiri, District. Ratnagiri.",Sea,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,9.36,Low Risk,BOD (14.0 > 3),,Non-compliant because BOD is 14.00 mg/L (above 3). Risk category: Low Risk.,,None,Dispatch immediate field monitoring team
7a3f9e70,"Madvi sea water at Ratnagiri near Jodhale Maruti Temple,  Village. Madvigaon, Taluka. Ratnagiri, District. Ratnagiri.",Madvi,Regulatory Violation | ML Non-Compliance,High,8.51,Low Risk,BOD (13.0 > 3),,Non-compliant because BOD is 13.00 mg/L (above 3). Risk category: Low Risk.,,None,Monitor closely and verify at next sampling cycle
34e158ec,"Sea water at Gateway of India, Village. Colaba, Taluka. Colaba, District. Mumbai.",Sea,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,15.86,Low Risk,DO (4.4 < 5); BOD (16.0 > 3),,Non-compliant because DO is 4.40 mg/L (below 5); BOD is 16.00 mg/L (above 3). Risk category: Low Risk.,,None,Dispatch immediate field monitoring team
cbd7062e,"Sea water at Charni road choupathy, Village. Girgaon, Taluka. Mumbai, District. Mumbai.",Sea,Regulatory Violation | ML Non-Compliance | Persistent Hotspot,Severe,14.16,Low Risk,DO (4.4 < 5); BOD (14.0 > 3),,Non-compliant because DO is 4.40 mg/L (below 5); BOD is 14.00 mg/L (above 3). Risk category: Low Risk.,,None,Dispatch immediate field monitoring team
